,Rental_Price
656,2800.0
1752,1800.0
2791,2600.0
762,2150.0
150,2800.0
3045,2200.0
3393,1800.0
161,2600.0
543,1800.0
1005,2100.0
1744,2000.0
2048,2100.0
35,2900.0
187,2630.0
863,2200.0
3118,2640.0
2171,2500.0
3043,2650.0
1722,2450.0
2853,1900.0
2201,2600.0
3313,2200.0
2663,2500.0
2557,2400.0
3219,2100.0
476,2300.0
829,2100.0
3292,3000.0
1829,1800.0
1697,2450.0
1011,2800.0
4687,1600.0
2273,1900.0
113,2150.0
4152,1730.0
3855,2400.0
1146,1500.0
2518,2000.0
3985,1850.0
937,1800.0
2505,2500.0
685,2630.0
1922,1800.0
4009,1600.0
780,2300.0
2259,2000.0
3018,2390.0
526,2100.0
3411,2300.0
1017,1900.0
2208,2100.0
3819,2180.0
1508,1900.0
1257,2250.0
3638,1600.0
305,2800.0
1659,2680.0
491,2000.0
761,1800.0
3833,2000.0
4235,1640.0
1793,1500.0
4664,1600.0
4198,1730.0
1522,2350.0
492,2650.0
1577,2500.0
3876,2250.0
3091,2200.0
3150,2300.0
280,2200.0
2138,2100.0
3463,2170.0
3062,2580.0
4453,1700.0
4736,1430.0
2497,2250.0
535,2000.0
2179,2700.0
2870,2050.0
2430,2350.0
2927,2200.0
1518,2000.0
1278,2500.0
1083,1900.0
1147,1750.0
4094,1900.0
3959,1700.0
1878,2000.0
1643,1800.0
4022,1800.0
4772,1250.0
3981,1480.0
3252,2700.0
4731,1480.0
2274,2300.0
1884,2200.0
302,2550.0
1069,2250.0
3424,2300.0
1393,1750.0
2068,2800.0
4599,1430.0
719,2140.0
2746,2600.0
168,3000.0
452,3000.0
1397,2400.0
2207,1950.0
3555,1900.0
2493,2000.0
3843,2250.0
3869,2000.0
3039,2500.0
3322,2250.0
926,1900.0
4761,1600.0
4564,1600.0
2537,2250.0
2133,2800.0
1076,2000.0
623,2250.0
3885,2380.0
2271,2380.0
2515,2100.0
2830,2600.0
2218,2400.0
3329,2500.0
1845,2100.0
4056,1700.0
2747,3000.0
4023,2000.0
3011,2730.0
1418,1900.0
1589,2800.0
1324,2000.0
2776,2900.0
3368,2000.0
2240,1900.0
564,2500.0
4745,1500.0
876,1700.0
2619,2400.0
533,2900.0
2971,2300.0
722,2030.0
3868,1600.0
2256,2250.0
4193,1600.0
1658,2500.0
1936,1600.0
4397,2000.0
1277,2250.0
2158,1900.0
2896,2150.0
774,2100.0
4432,2000.0
1065,1850.0
2675,2200.0
1675,2050.0
2181,1900.0
2947,2100.0
417,1700.0
3919,1800.0
1515,2250.0
2242,2100.0
2346,1600.0
1092,1700.0
2031,2400.0
3633,2400.0
4052,2000.0
4098,2000.0
1088,2500.0
4719,1500.0
1683,2400.0
1946,2500.0
4605,1700.0
4578,1250.0
4435,2000.0
3550,2150.0
1250,2400.0
3916,2100.0
1445,2000.0
499,2800.0
4653,1400.0
577,2000.0
4428,2000.0
3332,2400.0
1492,2100.0
710,2500.0
2251,1900.0
3346,2550.0
567,2500.0
3226,1900.0
2698,1800.0
1887,2700.0
2173,1850.0
4577,2200.0
2785,2300.0
2514,1800.0
1918,2180.0
2234,2900.0
2184,1700.0
2516,2300.0
4348,1500.0
1753,2000.0
3605,1800.0
4106,1700.0
2025,2500.0
4225,1450.0
337,2300.0
3581,2280.0
977,2550.0
4028,1710.0
226,2300.0
265,2200.0
46,3000.0
3558,2200.0
3506,2700.0
745,1800.0
3019,2400.0
2236,2330.0
545,2300.0
2582,2800.0
3761,2000.0
2757,2250.0
1849,2370.0
3155,2600.0
3728,2000.0
1350,2000.0
541,2200.0
4701,1350.0
1416,1800.0
197,2950.0
1895,1800.0
2661,2550.0
2748,2100.0
1128,2300.0
1544,2100.0
2314,2030.0
2069,1900.0
2223,2500.0
4727,1400.0
1685,2350.0
4427,1700.0
4226,1800.0
3236,2600.0
1351,1800.0
825,2250.0
1627,2350.0
3256,2300.0
4457,1400.0
899,1900.0
4421,2000.0
4242,1600.0
4412,1400.0
3429,2050.0
4148,2160.0
3029,2900.0
3641,2500.0
2328,3100.0
2262,1500.0
4617,1400.0
2011,2500.0
2461,2350.0
641,1800.0
1673,1800.0
4361,1500.0
1041,1700.0
514,2150.0
2149,2000.0
2075,1900.0
1676,1800.0
3165,2000.0
1736,2100.0
4485,1300.0
363,2100.0
3617,2860.0
4381,2150.0
2080,1950.0
3667,1800.0
1074,2300.0
1256,2100.0
4051,1550.0
4634,1280.0
817,2500.0
3158,2800.0
4527,2200.0
2225,2350.0
3336,2300.0
1153,1800.0
1557,2000.0
333,2300.0
3010,2530.0
4343,1550.0
1307,2000.0
1520,2400.0
1666,1800.0
3894,2030.0
4551,1200.0
2997,2800.0
127,2800.0
2450,2850.0
3394,2000.0
1390,2100.0
